,Fator_1,Fator_2,Grupos
G0,-0.14787554700957056,0.8973982095659374,G0
G1,-1.1451340437494046,-0.3866220448096577,G1
G2,0.6154825785182882,-2.101624926522004,G2
G3,0.9151840912382913,-0.001774178429717536,G3
